Target distance: 78, Step size: 1
2518: (x,y) = (-2.17382, 11.3346)
2519: (x,y) = (-2.37114, 12.315)
2520: (x,y) = (-3.31396, 12.6483)
2521: (x,y) = (-4.31321, 12.6095)
2522: (x,y) = (-5.31292, 12.5851)
2523: (x,y) = (-4.87837, 11.6845)
2524: (x,y) = (-5.78425, 11.261)
2525: (x,y) = (-5.6053, 12.2448)
2526: (x,y) = (-5.95413, 13.182)
2527: (x,y) = (-6.94526, 13.3149)
2528: (x,y) = (-6.07837, 12.8164)
2529: (x,y) = (-6.03612, 13.8155)
2530: (x,y) = (-5.04006, 13.7268)
2531: (x,y) = (-4.6185, 14.6336)
2532: (x,y) = (-3.97726, 15.4009)
2533: (x,y) = (-4.49375, 16.2572)
2534: (x,y) = (-4.71068, 17.2334)
2535: (x,y) = (-5.53881, 17.7939)
2536: (x,y) = (-6.03049, 16.9232)
2537: (x,y) = (-5.14432, 17.3865)
2538: (x,y) = (-5.74631, 18.185)
2539: (x,y) = (-6.61386, 17.6877)
2540: (x,y) = (-5.82893, 18.3073)
2541: (x,y) = (-4.83012, 18.356)
2542: (x,y) = (-4.04872, 17.732)
2543: (x,y) = (-3.06113, 17.5749)
2544: (x,y) = (-3.15637, 18.5704)
2545: (x,y) = (-4.15592, 18.6005)
2546: (x,y) = (-3.68561, 19.483)
2547: (x,y) = (-3.78085, 20.4784)
2548: (x,y) = (-2.92865, 21.0016)
2549: (x,y) = (-3.16511, 20.03)
2550: (x,y) = (-2.59918, 19.2055)
2551: (x,y) = (-2.10372, 18.3369)
2552: (x,y) = (-3.09794, 18.2295)
2553: (x,y) = (-3.81786, 18.9236)
2554: (x,y) = (-4.3849, 18.0999)
2555: (x,y) = (-5.16, 18.7317)
2556: (x,y) = (-4.35759, 18.1349)
2557: (x,y) = (-3.38784, 17.8908)
2558: (x,y) = (-2.58543, 17.2941)
2559: (x,y) = (-2.03141, 16.4616)
2560: (x,y) = (-3.01218, 16.2664)
2561: (x,y) = (-2.60368, 17.1791)
2562: (x,y) = (-1.621, 17.3645)
2563: (x,y) = (-2.06965, 16.4708)
2564: (x,y) = (-1.62221, 15.5765)
2565: (x,y) = (-2.37884, 14.9226)
2566: (x,y) = (-3.10866, 15.6063)
2567: (x,y) = (-4.10052, 15.479)
2568: (x,y) = (-4.46807, 14.549)
2569: (x,y) = (-4.39714, 13.5515)
2570: (x,y) = (-5.21386, 14.1285)
2571: (x,y) = (-4.38817, 14.6927)
2572: (x,y) = (-4.26869, 13.6998)
2573: (x,y) = (-4.71224, 14.5961)
2574: (x,y) = (-5.39332, 15.3283)
2575: (x,y) = (-4.46951, 15.7112)
2576: (x,y) = (-3.75261, 16.4083)
2577: (x,y) = (-4.64338, 15.9539)
2578: (x,y) = (-5.34307, 15.2394)
2579: (x,y) = (-5.09689, 16.2087)
2580: (x,y) = (-5.95429, 15.694)
2581: (x,y) = (-6.95429, 15.6897)
2582: (x,y) = (-6.06811, 16.153)
2583: (x,y) = (-6.9042, 16.7016)
2584: (x,y) = (-6.49571, 17.6144)
2585: (x,y) = (-6.61653, 16.6217)
2586: (x,y) = (-6.15125, 15.7366)
2587: (x,y) = (-5.37889, 16.3717)
2588: (x,y) = (-4.39043, 16.5232)
2589: (x,y) = (-3.40196, 16.6746)
2590: (x,y) = (-2.43581, 16.4166)
2591: (x,y) = (-1.82585, 15.6242)
2592: (x,y) = (-1.76925, 16.6226)
2593: (x,y) = (-2.00018, 17.5956)
2594: (x,y) = (-1.52223, 16.7172)
2595: (x,y) = (-2.17771, 17.4724)
2596: (x,y) = (-1.36682, 16.8872)
2597: (x,y) = (-1.29021, 17.8843)
2598: (x,y) = (-0.881712, 18.797)
2599: (x,y) = (-0.11298, 18.1574)
2600: (x,y) = (0.872253, 18.3287)
2601: (x,y) = (0.138562, 17.6492)
2602: (x,y) = (-0.273894, 18.5601)
2603: (x,y) = (0.55179, 19.1243)
2604: (x,y) = (0.608391, 20.1227)
2605: (x,y) = (1.60444, 20.0339)
2606: (x,y) = (1.99456, 20.9547)
2607: (x,y) = (1.33908, 21.7099)
2608: (x,y) = (1.97595, 20.9389)
2609: (x,y) = (2.7391, 21.5851)
2610: (x,y) = (1.96042, 20.9577)
2611: (x,y) = (1.96259, 19.9577)
2612: (x,y) = (2.82947, 19.4592)
2613: (x,y) = (2.43015, 18.5424)
2614: (x,y) = (2.82026, 19.4632)
2615: (x,y) = (3.51276, 20.1846)
2616: (x,y) = (3.29028, 19.2097)
2617: (x,y) = (4.28682, 19.2928)
2618: (x,y) = (3.31335, 19.0639)
2619: (x,y) = (4.22929, 19.4653)
2620: (x,y) = (5.14523, 19.8666)
2621: (x,y) = (4.14568, 19.8966)
2622: (x,y) = (5.03842, 19.4461)
2623: (x,y) = (4.15426, 18.9789)
2624: (x,y) = (4.92662, 19.6141)
2625: (x,y) = (5.13376, 18.6357)
2626: (x,y) = (6.11536, 18.4448)
2627: (x,y) = (5.7531, 19.3769)
2628: (x,y) = (6.69447, 19.7143)
2629: (x,y) = (7.08459, 20.635)
2630: (x,y) = (7.19545, 21.6289)
2631: (x,y) = (6.59347, 22.4274)
2632: (x,y) = (7.38722, 23.0356)
2633: (x,y) = (7.96956, 22.2227)
2634: (x,y) = (6.97596, 22.3357)
2635: (x,y) = (6.41362, 23.1626)
2636: (x,y) = (6.92151, 22.3012)
2637: (x,y) = (7.8486, 21.9263)
2638: (x,y) = (7.62612, 20.9514)
2639: (x,y) = (7.49105, 19.9606)
2640: (x,y) = (8.35358, 20.4666)
2641: (x,y) = (7.76312, 21.2736)
2642: (x,y) = (7.93647, 20.2888)
2643: (x,y) = (7.46234, 21.1692)
2644: (x,y) = (6.9582, 22.0329)
2645: (x,y) = (7.93266, 21.8083)
2646: (x,y) = (6.96914, 22.0759)
2647: (x,y) = (7.85531, 22.5393)
2648: (x,y) = (7.69184, 23.5258)
2649: (x,y) = (7.42757, 24.4903)
2650: (x,y) = (6.55573, 24.9801)
2651: (x,y) = (5.92222, 24.2063)
2652: (x,y) = (6.35677, 23.3057)
2653: (x,y) = (5.66115, 24.0241)
2654: (x,y) = (5.64896, 25.024)
2655: (x,y) = (5.77408, 26.0162)
2656: (x,y) = (4.81451, 26.2976)
2657: (x,y) = (3.82265, 26.1704)
2658: (x,y) = (2.86149, 25.8943)
2659: (x,y) = (3.04898, 24.9121)
2660: (x,y) = (4.04838, 24.9465)
2661: (x,y) = (4.3878, 24.0058)
2662: (x,y) = (4.88819, 24.8716)
2663: (x,y) = (5.66054, 25.5068)
2664: (x,y) = (6.61724, 25.2158)
2665: (x,y) = (7.56336, 24.8919)
2666: (x,y) = (6.59468, 25.1402)
2667: (x,y) = (6.99798, 24.2252)
2668: (x,y) = (7.85762, 23.7143)
2669: (x,y) = (6.87165, 23.8812)
2670: (x,y) = (7.42567, 23.0487)
2671: (x,y) = (7.12837, 24.0035)
2672: (x,y) = (7.57581, 23.1092)
2673: (x,y) = (6.85196, 22.4192)
2674: (x,y) = (6.15227, 21.7048)
2675: (x,y) = (5.18876, 21.9724)
2676: (x,y) = (5.93503, 21.3068)
2677: (x,y) = (5.08811, 21.8385)
2678: (x,y) = (5.58357, 20.9699)
2679: (x,y) = (5.96042, 21.8961)
2680: (x,y) = (5.70453, 20.9294)
2681: (x,y) = (5.52131, 21.9125)
2682: (x,y) = (6.02919, 21.0511)
2683: (x,y) = (6.50714, 20.1727)
2684: (x,y) = (7.39066, 19.7043)
2685: (x,y) = (6.63776, 20.3624)
2686: (x,y) = (7.48996, 20.8856)
2687: (x,y) = (7.07234, 19.977)
2688: (x,y) = (7.35172, 20.9372)
2689: (x,y) = (8.25943, 20.5176)
2690: (x,y) = (7.26151, 20.582)
2691: (x,y) = (7.47421, 21.5592)
2692: (x,y) = (8.44992, 21.7782)
2693: (x,y) = (9.4107, 21.5009)
2694: (x,y) = (8.70082, 20.7966)
2695: (x,y) = (9.6955, 20.8996)
2696: (x,y) = (9.82063, 21.8918)
2697: (x,y) = (10.6832, 22.3978)
2698: (x,y) = (11.3353, 23.1558)
2699: (x,y) = (11.9223, 23.9655)
2700: (x,y) = (12.5436, 23.1819)
2701: (x,y) = (13.536, 23.0589)
2702: (x,y) = (13.5181, 22.0591)
2703: (x,y) = (14.5169, 22.1078)
2704: (x,y) = (15.3475, 21.5509)
2705: (x,y) = (15.0777, 20.5879)
2706: (x,y) = (14.0787, 20.6324)
2707: (x,y) = (14.8192, 21.3045)
2708: (x,y) = (13.9545, 21.8067)
2709: (x,y) = (13.4677, 22.6803)
2710: (x,y) = (12.9342, 23.5261)
2711: (x,y) = (13.5048, 24.3473)
2712: (x,y) = (14.3463, 23.8071)
2713: (x,y) = (13.3604, 23.974)
2714: (x,y) = (13.163, 24.9544)
2715: (x,y) = (13.6758, 25.8129)
2716: (x,y) = (14.0659, 26.7337)
2717: (x,y) = (13.6045, 25.8465)
2718: (x,y) = (14.1704, 25.022)
2719: (x,y) = (13.3953, 25.6539)
2720: (x,y) = (12.6042, 25.0422)
2721: (x,y) = (12.0829, 24.1888)
2722: (x,y) = (12.9134, 23.6319)
2723: (x,y) = (12.452, 22.7447)
2724: (x,y) = (11.8732, 21.9293)
2725: (x,y) = (10.9533, 21.5371)
2726: (x,y) = (11.923, 21.2931)
2727: (x,y) = (12.3446, 22.1999)
2728: (x,y) = (13.2907, 21.876)
2729: (x,y) = (13.9935, 22.5874)
2730: (x,y) = (13.5068, 23.461)
2731: (x,y) = (14.0318, 22.6099)
2732: (x,y) = (13.1849, 23.1416)
2733: (x,y) = (12.338, 23.6734)
2734: (x,y) = (12.9039, 22.8489)
2735: (x,y) = (12.3415, 23.6758)
2736: (x,y) = (13.082, 24.3479)
2737: (x,y) = (12.3864, 25.0663)
2738: (x,y) = (12.4573, 24.0688)
2739: (x,y) = (11.4795, 23.8596)
2740: (x,y) = (12.4794, 23.8739)
2741: (x,y) = (11.671, 24.4626)
2742: (x,y) = (12.6695, 24.4082)
2743: (x,y) = (12.9157, 25.3774)
2744: (x,y) = (13.6145, 24.662)
2745: (x,y) = (12.7147, 24.2255)
2746: (x,y) = (12.0089, 24.9339)
2747: (x,y) = (11.3798, 25.7112)
2748: (x,y) = (11.2305, 26.7)
2749: (x,y) = (11.2383, 27.7)
2750: (x,y) = (11.4455, 26.7217)
2751: (x,y) = (11.854, 27.6344)
2752: (x,y) = (12.7209, 27.1359)
2753: (x,y) = (12.518, 26.1567)
2754: (x,y) = (13.0767, 26.9861)
2755: (x,y) = (13.7504, 26.247)
2756: (x,y) = (12.8758, 25.7622)
2757: (x,y) = (13.4903, 26.5512)
2758: (x,y) = (14.3764, 27.0145)
2759: (x,y) = (13.3986, 26.8053)
2760: (x,y) = (13.2351, 27.7918)
2761: (x,y) = (12.9987, 26.8202)
2762: (x,y) = (12.1903, 27.4089)
2763: (x,y) = (11.8042, 26.4864)
2764: (x,y) = (12.5211, 27.1836)
2765: (x,y) = (12.3718, 28.1724)
2766: (x,y) = (11.8851, 29.046)
2767: (x,y) = (10.915, 28.8032)
2768: (x,y) = (11.7819, 28.3047)
2769: (x,y) = (12.5087, 28.9915)
2770: (x,y) = (13.3145, 29.5837)
2771: (x,y) = (13.3367, 30.5834)
2772: (x,y) = (12.3498, 30.4221)
2773: (x,y) = (11.5747, 31.0539)
2774: (x,y) = (10.6026, 31.2883)
2775: (x,y) = (10.2808, 30.3415)
2776: (x,y) = (11.2806, 30.3214)
2777: (x,y) = (11.9436, 29.5728)
2778: (x,y) = (12.7882, 30.1082)
2779: (x,y) = (11.8823, 29.6847)
2780: (x,y) = (12.4809, 30.4858)
2781: (x,y) = (12.9512, 31.3683)
2782: (x,y) = (12.9677, 30.3684)
2783: (x,y) = (12.3122, 31.1236)
2784: (x,y) = (12.6891, 32.0499)
2785: (x,y) = (13.6107, 31.6618)
2786: (x,y) = (12.6778, 31.3016)
2787: (x,y) = (12.8314, 30.3134)
2788: (x,y) = (12.0785, 30.9715)
2789: (x,y) = (11.4187, 30.2201)
2790: (x,y) = (10.9022, 31.0764)
2791: (x,y) = (10.5347, 30.1464)
2792: (x,y) = (9.92817, 29.3513)
2793: (x,y) = (9.84157, 28.355)
2794: (x,y) = (9.39293, 27.4613)
2795: (x,y) = (10.303, 27.8758)
2796: (x,y) = (9.94075, 28.8078)
2797: (x,y) = (10.9165, 29.0269)
2798: (x,y) = (10.2567, 28.2754)
2799: (x,y) = (10.1958, 29.2736)
2800: (x,y) = (9.2362, 29.555)
2801: (x,y) = (10.2038, 29.8075)
2802: (x,y) = (9.20455, 29.7688)
2803: (x,y) = (9.02134, 30.7518)
2804: (x,y) = (8.90052, 29.7592)
2805: (x,y) = (8.61696, 30.7181)
2806: (x,y) = (9.6146, 30.7869)
2807: (x,y) = (9.65117, 29.7876)
2808: (x,y) = (10.1516, 30.6534)
2809: (x,y) = (9.34321, 31.2421)
2810: (x,y) = (8.65799, 30.5137)
2811: (x,y) = (7.90135, 29.8599)
2812: (x,y) = (7.00165, 29.4234)
2813: (x,y) = (6.15473, 29.9551)
2814: (x,y) = (7.15413, 29.9895)
2815: (x,y) = (8.00634, 30.5127)
2816: (x,y) = (7.42754, 29.6973)
2817: (x,y) = (6.50762, 29.3052)
2818: (x,y) = (7.1555, 28.5434)
2819: (x,y) = (6.639, 29.3997)
2820: (x,y) = (5.63905, 29.4097)
2821: (x,y) = (4.65215, 29.2484)
2822: (x,y) = (5.59352, 29.5858)
2823: (x,y) = (4.64421, 29.9001)
2824: (x,y) = (3.71661, 29.5265)
2825: (x,y) = (4.69929, 29.7118)
2826: (x,y) = (5.10259, 28.7968)
2827: (x,y) = (5.92505, 28.228)
2828: (x,y) = (5.26958, 28.9832)
2829: (x,y) = (4.30606, 29.2508)
2830: (x,y) = (3.33391, 29.4852)
2831: (x,y) = (3.75032, 28.576)
2832: (x,y) = (4.03803, 27.6183)
2833: (x,y) = (3.75447, 28.5772)
2834: (x,y) = (4.43236, 29.3124)
2835: (x,y) = (3.49247, 28.9709)
2836: (x,y) = (2.67248, 28.3986)
2837: (x,y) = (1.81801, 28.9181)
2838: (x,y) = (1.07084, 28.2534)
2839: (x,y) = (1.1561, 27.2571)
2840: (x,y) = (1.54098, 26.3341)
2841: (x,y) = (1.39169, 27.3229)
2842: (x,y) = (0.563568, 27.8834)
2843: (x,y) = (0.327109, 26.9118)
2844: (x,y) = (1.28789, 26.6345)
2845: (x,y) = (0.870264, 25.7259)
2846: (x,y) = (1.17712, 24.7741)
2847: (x,y) = (2.00767, 24.2172)
2848: (x,y) = (1.04651, 23.9412)
2849: (x,y) = (2.02409, 23.7306)
2850: (x,y) = (1.89466, 24.7222)
2851: (x,y) = (1.34901, 25.5602)
2852: (x,y) = (0.357142, 25.4329)
2853: (x,y) = (-0.352737, 24.7286)
2854: (x,y) = (0.491868, 25.264)
2855: (x,y) = (-0.261038, 25.9221)
2856: (x,y) = (-0.828069, 25.0984)
2857: (x,y) = (0.0211514, 24.5704)
2858: (x,y) = (-0.391305, 25.4813)
2859: (x,y) = (-0.953644, 26.3082)
2860: (x,y) = (-1.75003, 26.913)
2861: (x,y) = (-0.870603, 27.3891)
2862: (x,y) = (-0.544731, 28.3345)
2863: (x,y) = (-1.5366, 28.2072)
2864: (x,y) = (-2.24246, 28.9156)
2865: (x,y) = (-3.05414, 28.3315)
2866: (x,y) = (-3.76001, 29.0398)
2867: (x,y) = (-3.88944, 30.0314)
2868: (x,y) = (-4.42299, 30.8772)
2869: (x,y) = (-3.4299, 30.9945)
2870: (x,y) = (-4.07446, 31.759)
2871: (x,y) = (-5.0282, 32.0597)
2872: (x,y) = (-5.86739, 31.5159)
2873: (x,y) = (-4.95146, 31.9172)
2874: (x,y) = (-4.59325, 32.8508)
2875: (x,y) = (-3.99929, 32.0463)
2876: (x,y) = (-4.01717, 31.0465)
2877: (x,y) = (-4.26756, 32.0146)
2878: (x,y) = (-4.04639, 31.0394)
2879: (x,y) = (-4.78009, 30.3599)
2880: (x,y) = (-5.71998, 30.0185)
2881: (x,y) = (-6.48593, 30.6614)
2882: (x,y) = (-5.50835, 30.4508)
2883: (x,y) = (-6.23817, 31.1344)
2884: (x,y) = (-5.24163, 31.2175)
2885: (x,y) = (-5.985, 31.8864)
2886: (x,y) = (-5.71108, 30.9246)
2887: (x,y) = (-4.71108, 30.9246)
2888: (x,y) = (-5.15463, 31.8209)
2889: (x,y) = (-6.00155, 32.3526)
2890: (x,y) = (-6.56389, 33.1795)
2891: (x,y) = (-5.5708, 33.2968)
2892: (x,y) = (-6.56872, 33.3613)
2893: (x,y) = (-6.18384, 32.4383)
2894: (x,y) = (-7.15392, 32.1955)
2895: (x,y) = (-6.79572, 33.1292)
2896: (x,y) = (-6.86232, 32.1314)
2897: (x,y) = (-5.91621, 31.8076)
2898: (x,y) = (-5.81099, 30.8131)
2899: (x,y) = (-4.93157, 31.2892)
2900: (x,y) = (-5.02681, 32.2846)
2901: (x,y) = (-4.33432, 33.0061)
2902: (x,y) = (-3.85637, 32.1277)
2903: (x,y) = (-3.32649, 32.9757)
2904: (x,y) = (-3.01423, 33.9257)
2905: (x,y) = (-2.06181, 34.2305)
2906: (x,y) = (-1.09421, 34.483)
2907: (x,y) = (-1.2435, 35.4718)
2908: (x,y) = (-1.99066, 34.8072)
2909: (x,y) = (-1.3807, 34.0147)
2910: (x,y) = (-1.05483, 34.9602)
2911: (x,y) = (-0.742568, 35.9101)
2912: (x,y) = (-0.700313, 36.9093)
2913: (x,y) = (-1.67247, 37.1436)
2914: (x,y) = (-2.45115, 36.5162)
2915: (x,y) = (-3.37874, 36.1426)
2916: (x,y) = (-2.81282, 35.3181)
2917: (x,y) = (-3.11554, 34.3651)
2918: (x,y) = (-2.47867, 33.5941)
2919: (x,y) = (-2.18552, 34.5501)
2920: (x,y) = (-1.42237, 35.1964)
2921: (x,y) = (-2.42207, 35.172)
2922: (x,y) = (-2.24312, 36.1558)
2923: (x,y) = (-1.43223, 35.5706)
2924: (x,y) = (-2.15608, 34.8807)
2925: (x,y) = (-1.88216, 33.9189)
2926: (x,y) = (-2.67854, 34.5237)
2927: (x,y) = (-3.44449, 35.1666)
2928: (x,y) = (-2.47689, 35.4191)
2929: (x,y) = (-2.11868, 36.3528)
2930: (x,y) = (-1.97932, 35.3625)
2931: (x,y) = (-2.77042, 34.7509)
2932: (x,y) = (-3.50411, 34.0714)
2933: (x,y) = (-4.18934, 33.343)
2934: (x,y) = (-3.91541, 32.3813)
2935: (x,y) = (-3.499, 31.4721)
2936: (x,y) = (-2.53822, 31.1948)
2937: (x,y) = (-2.03034, 30.3334)
2938: (x,y) = (-2.82672, 30.9382)
2939: (x,y) = (-3.6384, 30.3541)
2940: (x,y) = (-2.64786, 30.4913)
2941: (x,y) = (-3.47916, 29.9355)
2942: (x,y) = (-2.77638, 30.6469)
2943: (x,y) = (-3.69629, 30.2547)
2944: (x,y) = (-2.83377, 30.7608)
2945: (x,y) = (-1.86264, 30.9993)
2946: (x,y) = (-2.75082, 31.4588)
2947: (x,y) = (-1.78467, 31.2008)
2948: (x,y) = (-1.85128, 30.2031)
2949: (x,y) = (-2.23214, 31.1277)
2950: (x,y) = (-1.70226, 31.9758)
2951: (x,y) = (-1.14352, 32.8051)
2952: (x,y) = (-0.708969, 31.9045)
2953: (x,y) = (-1.57368, 32.4067)
2954: (x,y) = (-0.711157, 32.9127)
2955: (x,y) = (-1.69462, 33.0938)
2956: (x,y) = (-2.6929, 33.0351)
2957: (x,y) = (-2.50541, 32.0528)
2958: (x,y) = (-1.96341, 32.8932)
2959: (x,y) = (-1.38107, 32.0802)
2960: (x,y) = (-0.381069, 32.0802)
2961: (x,y) = (-0.255941, 33.0724)
2962: (x,y) = (-1.24953, 33.1854)
2963: (x,y) = (-0.459252, 32.5726)
2964: (x,y) = (0.0535205, 33.4312)
2965: (x,y) = (-0.821088, 32.9463)
2966: (x,y) = (0.146511, 33.1988)
2967: (x,y) = (0.745029, 33.9999)
2968: (x,y) = (-0.192912, 34.3467)
2969: (x,y) = (-1.16957, 34.5615)
2970: (x,y) = (-0.211228, 34.8472)
2971: (x,y) = (-0.297823, 33.8509)
2972: (x,y) = (-0.926929, 34.6282)
2973: (x,y) = (-1.9104, 34.8093)
2974: (x,y) = (-2.41454, 35.673)
2975: (x,y) = (-3.39801, 35.854)
2976: (x,y) = (-4.39628, 35.7953)
2977: (x,y) = (-3.45985, 36.1461)
2978: (x,y) = (-3.56075, 35.1512)
2979: (x,y) = (-4.50545, 34.8233)
2980: (x,y) = (-5.21131, 35.5317)
2981: (x,y) = (-4.86656, 36.4704)
2982: (x,y) = (-5.12245, 35.5036)
2983: (x,y) = (-6.12199, 35.5337)
2984: (x,y) = (-5.28045, 34.9935)
2985: (x,y) = (-4.5536, 35.6803)
2986: (x,y) = (-4.64884, 36.6758)
2987: (x,y) = (-5.52068, 37.1656)
2988: (x,y) = (-4.69013, 36.6086)
2989: (x,y) = (-4.85921, 35.623)
2990: (x,y) = (-5.7734, 35.2177)
2991: (x,y) = (-5.49401, 36.1779)
2992: (x,y) = (-4.52786, 35.9199)
2993: (x,y) = (-3.65816, 36.4135)
2994: (x,y) = (-2.96567, 37.1349)
2995: (x,y) = (-3.84715, 37.6072)
2996: (x,y) = (-2.9335, 37.2006)
2997: (x,y) = (-2.64035, 38.1567)
2998: (x,y) = (-2.10313, 37.3133)
2999: (x,y) = (-2.55177, 36.4196)
3000: (x,y) = (-1.62468, 36.0447)
3001: (x,y) = (-0.765049, 35.5338)
3002: (x,y) = (-1.70787, 35.8671)
3003: (x,y) = (-2.1946, 36.7406)
3004: (x,y) = (-2.94751, 37.3988)
3005: (x,y) = (-2.06808, 37.8748)
3006: (x,y) = (-1.2623, 38.467)
3007: (x,y) = (-0.950038, 39.417)
3008: (x,y) = (-0.437265, 40.2755)
3009: (x,y) = (0.0706189, 39.4141)
3010: (x,y) = (0.0871524, 38.4142)
3011: (x,y) = (0.612204, 37.5632)
3012: (x,y) = (1.536, 37.9461)
3013: (x,y) = (0.538083, 38.0105)
3014: (x,y) = (-0.10648, 38.775)
3015: (x,y) = (0.89352, 38.775)
3016: (x,y) = (1.73507, 38.2349)
3017: (x,y) = (2.6278, 37.7843)
3018: (x,y) = (2.45873, 36.7987)
3019: (x,y) = (3.01275, 35.9662)
3020: (x,y) = (2.44572, 35.1425)
3021: (x,y) = (2.03326, 36.0535)
3022: (x,y) = (1.43127, 36.852)
3023: (x,y) = (2.28049, 36.3239)
3024: (x,y) = (1.80137, 35.4462)
3025: (x,y) = (0.803095, 35.3874)
3026: (x,y) = (0.158532, 36.152)
3027: (x,y) = (1.06624, 35.7324)
3028: (x,y) = (2.06387, 35.8011)
3029: (x,y) = (2.189, 36.7933)
3030: (x,y) = (1.55549, 36.0195)
3031: (x,y) = (2.51627, 35.7422)
3032: (x,y) = (1.57833, 36.089)
3033: (x,y) = (2.32837, 36.7504)
3034: (x,y) = (1.93426, 37.6695)
3035: (x,y) = (2.62675, 38.3909)
3036: (x,y) = (1.62774, 38.4353)
3037: (x,y) = (1.40526, 37.4604)
3038: (x,y) = (0.705575, 36.746)
3039: (x,y) = (1.60469, 36.3082)
3040: (x,y) = (0.737136, 35.8109)
3041: (x,y) = (-0.0989548, 36.3595)
3042: (x,y) = (0.207899, 35.4077)
3043: (x,y) = (1.14734, 35.065)
3044: (x,y) = (1.30653, 36.0523)
3045: (x,y) = (0.33784, 36.3005)
3046: (x,y) = (0.380094, 37.2997)
3047: (x,y) = (1.02133, 38.067)
3048: (x,y) = (0.246229, 38.6988)
3049: (x,y) = (0.150989, 39.6943)
3050: (x,y) = (-0.0463301, 40.6746)
3051: (x,y) = (-0.741946, 41.393)
3052: (x,y) = (0.0175195, 40.7425)
3053: (x,y) = (-0.503833, 39.8891)
3054: (x,y) = (-0.884702, 40.8138)
3055: (x,y) = (-0.263419, 40.0302)
3056: (x,y) = (0.176242, 40.9284)
3057: (x,y) = (1.11568, 40.5856)
3058: (x,y) = (1.55023, 39.685)
3059: (x,y) = (0.553334, 39.7638)
3060: (x,y) = (-0.432633, 39.9307)
3061: (x,y) = (-1.40479, 40.165)
3062: (x,y) = (-2.38825, 40.3461)
3063: (x,y) = (-2.17556, 41.3232)
3064: (x,y) = (-1.46263, 40.622)
3065: (x,y) = (-0.600105, 41.128)
3066: (x,y) = (-1.29572, 41.8464)
3067: (x,y) = (-1.78741, 40.9757)
3068: (x,y) = (-1.29195, 40.107)
3069: (x,y) = (-0.313187, 40.312)
3070: (x,y) = (-1.02307, 39.6077)
3071: (x,y) = (-1.24554, 38.6328)
3072: (x,y) = (-1.31215, 37.635)
3073: (x,y) = (-2.20032, 38.0945)
3074: (x,y) = (-2.58644, 37.1721)
3075: (x,y) = (-2.70162, 38.1654)
3076: (x,y) = (-1.93289, 37.5258)
3077: (x,y) = (-1.97948, 38.5247)
3078: (x,y) = (-2.81557, 39.0733)
3079: (x,y) = (-3.59425, 38.4459)
3080: (x,y) = (-4.57873, 38.2704)
3081: (x,y) = (-4.78162, 37.2912)
3082: (x,y) = (-3.78921, 37.1683)
3083: (x,y) = (-4.01169, 36.1933)
3084: (x,y) = (-4.41102, 35.2765)
3085: (x,y) = (-5.25021, 34.7327)
3086: (x,y) = (-6.0619, 34.1486)
3087: (x,y) = (-5.53201, 34.9966)
3088: (x,y) = (-6.45193, 34.6045)
3089: (x,y) = (-7.40125, 34.9189)
3090: (x,y) = (-7.99628, 34.1152)
3091: (x,y) = (-7.08034, 34.5165)
3092: (x,y) = (-6.83416, 35.4857)
3093: (x,y) = (-6.26356, 36.3069)
3094: (x,y) = (-6.46088, 37.2873)
3095: (x,y) = (-5.71083, 37.9487)
3096: (x,y) = (-5.63423, 38.9457)
3097: (x,y) = (-4.67753, 38.6546)
3098: (x,y) = (-4.47039, 37.6763)
3099: (x,y) = (-5.15147, 38.4085)
3100: (x,y) = (-5.3684, 39.3847)
3101: (x,y) = (-6.22287, 39.9042)
3102: (x,y) = (-5.45972, 40.5504)
3103: (x,y) = (-5.93385, 41.4309)
3104: (x,y) = (-5.42107, 42.2894)
3105: (x,y) = (-4.71829, 43.0008)
3106: (x,y) = (-5.53828, 42.4284)
3107: (x,y) = (-6.14027, 43.227)
3108: (x,y) = (-6.90622, 43.8699)
3109: (x,y) = (-7.23619, 44.8138)
3110: (x,y) = (-7.29712, 45.812)
3111: (x,y) = (-7.08443, 46.7891)
3112: (x,y) = (-7.50993, 47.6941)
3113: (x,y) = (-7.6251, 48.6874)
3114: (x,y) = (-7.67169, 49.6863)
3115: (x,y) = (-6.69293, 49.8913)
3116: (x,y) = (-6.15093, 50.7317)
3117: (x,y) = (-5.52964, 49.9481)
3118: (x,y) = (-5.18489, 50.8868)
3119: (x,y) = (-5.35396, 49.9012)
3120: (x,y) = (-6.12355, 49.2627)
3121: (x,y) = (-5.41063, 48.5614)
3122: (x,y) = (-4.55842, 49.0846)
3123: (x,y) = (-3.97608, 48.2717)
3124: (x,y) = (-4.45021, 49.1522)
3125: (x,y) = (-4.94189, 48.2814)
3126: (x,y) = (-3.96029, 48.0904)
3127: (x,y) = (-3.29727, 47.3418)
3128: (x,y) = (-3.99696, 46.6274)
3129: (x,y) = (-3.04902, 46.9458)
3130: (x,y) = (-3.1642, 47.9392)
3131: (x,y) = (-2.91801, 48.9084)
3132: (x,y) = (-2.83275, 47.912)
3133: (x,y) = (-3.26339, 47.0095)
3134: (x,y) = (-4.23347, 46.7667)
3135: (x,y) = (-4.1226, 47.7606)
3136: (x,y) = (-3.75102, 46.8322)
3137: (x,y) = (-3.23825, 47.6907)
3138: (x,y) = (-3.99489, 47.0369)
3139: (x,y) = (-4.99484, 47.0469)
3140: (x,y) = (-5.97448, 47.2476)
3141: (x,y) = (-5.25155, 46.5567)
